,it,alpha,result,size_gen
0,0.0,0.1,10.0014186109591,200
1,0.0,0.2,4.974795285466449,200
2,0.0,0.3,3.979836228373159,200
3,0.0,0.4,3.9851921275021756,200
4,0.0,0.5,0.0,200
5,1.0,0.1,14.480868433332637,200
6,1.0,0.2,4.974795993352171,200
7,1.0,0.3,1.0190030223428455,200
8,1.0,0.4,3.979836228373159,200
9,1.0,0.5,2.986659850969888,200
10,2.0,0.1,14.924484053109154,200
11,2.0,0.2,6.964748866093984,200
12,2.0,0.3,1.9899181141865796,200
13,2.0,0.4,2.9848771712798694,200
14,2.0,0.5,1.9899181141865796,200
15,3.0,0.1,10.944545531921538,200
16,3.0,0.2,4.974795285466449,200
17,3.0,0.3,2.9848771712798694,200
18,3.0,0.4,6.0112801555556885,200
19,3.0,0.5,3.979836228373159,200
20,4.0,0.1,14.968771593367958,200
21,4.0,0.2,9.949585533113828,200
22,4.0,0.3,4.981611838162337,200
23,4.0,0.4,3.979836228373159,200
24,4.0,0.5,1.9899181141865796,200
25,5.0,0.1,7.961551139567497,200
26,5.0,0.2,4.979766732774198,200
27,5.0,0.3,3.979836228373159,200
28,5.0,0.4,3.979836228373159,200
29,5.0,0.5,0.9949590570932898,200
30,6.0,0.1,6.1005966790220665,200
31,6.0,0.2,3.9798375362927736,200
32,6.0,0.3,2.987399994449879,200
33,6.0,0.4,4.974795285466449,200
34,6.0,0.5,0.9951148241526298,200
35,7.0,0.1,17.909603862280605,200
36,7.0,0.2,8.954631513839612,200
37,7.0,0.3,5.969754342559741,200
38,7.0,0.4,1.9899181141865796,200
39,7.0,0.5,2.9848771712798694,200
40,8.0,0.1,11.246739256138488,200
41,8.0,0.2,6.9653353969951795,200
42,8.0,0.3,7.120119418382201,200
43,8.0,0.4,3.9802094294194283,200
44,8.0,0.5,3.979836228373159,200
45,9.0,0.1,7.034119997444293,200
46,9.0,0.2,6.97851621938727,200
47,9.0,0.3,3.9798610057447483,200
