,it,alpha,result,size_gen
10,14,0.6,3.979836228373159,200
10,14,0.7,3.979836228373159,200
10,14,0.8,3.979836228373159,200
10,14,0.9,150.33087330222483,200
10,14,1.0,5.970008312040704,200
0,0.0,0.1,30.796617526264974,100
1,0.0,0.2,15.802623474154993,100
2,0.0,0.3,10.142103589595912,100
3,0.0,0.4,11.940635821659647,100
4,0.0,0.5,3.9813377376036456,100
5,1.0,0.1,58.35864783268557,100
6,1.0,0.2,29.36764208040742,100
7,1.0,0.3,14.924395535811914,100
8,1.0,0.4,11.097906734075709,100
9,1.0,0.5,6.964804274238274,100
10,2.0,0.1,42.95044560303562,100
11,2.0,0.2,19.928426732577286,100
12,2.0,0.3,14.040365804549864,100
13,2.0,0.4,7.981062586853394,100
14,2.0,0.5,11.022701996948514,100
15,3.0,0.1,44.71106543044584,100
16,3.0,0.2,35.10685332577385,100
17,3.0,0.3,10.94455547366715,100
18,3.0,0.4,8.961183749455072,100
19,3.0,0.5,10.95807904265969,100
20,4.0,0.1,31.240759869168343,100
21,4.0,0.2,15.975914589526258,100
22,4.0,0.3,10.03760404948941,100
23,4.0,0.4,7.152451816530567,100
24,4.0,0.5,6.964821009302083,100
25,5.0,0.1,36.970481102098,100
26,5.0,0.2,14.279405890108572,100
27,5.0,0.3,7.016393444299123,100
28,5.0,0.4,7.993939601085023,100
29,5.0,0.5,3.979836228373159,100
30,6.0,0.1,19.163510896055694,100
31,6.0,0.2,19.67346179870755,100
32,6.0,0.3,9.237661305138896,100
33,6.0,0.4,6.964982512652348,100
34,6.0,0.5,10.944549628026195,100
35,7.0,0.1,90.12417672667118,100
36,7.0,0.2,12.036044030209679,100
37,7.0,0.3,11.956776102806582,100
38,7.0,0.4,10.944553545516786,100
39,7.0,0.5,4.974795285466451,100
40,8.0,0.1,62.90085897053056,100
41,8.0,0.2,20.00497475221495,100
42,8.0,0.3,8.323451445510672,100
43,8.0,0.4,8.515222467150927,100
44,8.0,0.5,4.372458531378317,100
45,9.0,0.1,77.00086323565061,100
46,9.0,0.2,20.932454821957528,100
47,9.0,0.3,10.115327935408828,100
48,9.0,0.4,10.947908384334108,100
49,9.0,0.5,4.974795285466449,100
50,10.0,0.1,148.83405235782126,100
51,10.0,0.2,17.17483642120236,100
52,10.0,0.3,8.170452435461241,100
53,10.0,0.4,9.000216163621356,100
54,10.0,0.5,7.959672456746322,100
55,11.0,0.1,24.89560808428628,100
56,11.0,0.2,12.026120954453788,100
57,11.0,0.3,9.019593892023893,100
58,11.0,0.4,9.966975637386522,100
59,11.0,0.5,8.954631513839612,100
60,12.0,0.1,36.929615670305374,100
61,12.0,0.2,9.734846216035264,100
62,12.0,0.3,8.009340936858743,100
63,12.0,0.4,8.120199353335368,100
64,12.0,0.5,6.999679205291649,100
65,13.0,0.1,48.33605477530061,100
66,13.0,0.2,18.358729038941057,100
67,13.0,0.3,14.417036872365975,100
68,13.0,0.4,4.974795285466449,100
69,13.0,0.5,6.968407474140104,100
70,14.0,0.1,127.17350415016877,100
71,14.0,0.2,16.058289157241752,100
72,14.0,0.3,9.964224889977482,100
73,14.0,0.4,6.964713399653032,100
74,14.0,0.5,4.054309415502802,100
10,0,0.6,7.959672456746322,100
10,0,0.7,8.990809196644731,100
10,0,0.8,10.944556965295869,100
10,0,0.9,7.2891807907247195,100
10,0,1.0,30.84369042190125,100
10,1,0.6,3.267216371462478,100
10,1,0.7,9.005571166767947,100
10,1,0.8,10.944562930915572,100
10,1,0.9,8.954738680301974,100
10,1,1.0,13.929416723667915,100
10,2,0.6,7.205848869603024,100
10,2,0.7,4.979629797406966,100
10,2,0.8,8.98239610669327,100
10,2,0.9,14.926535394344137,100
10,2,1.0,18.90421704695345,100
10,3,0.6,5.969754342559744,100
10,3,0.7,11.939503647300409,100
10,3,0.8,11.958291652906059,100
10,3,0.9,12.715206949507252,100
10,3,1.0,30.843690421901254,100
10,4,0.6,9.333555678576742,100
10,4,0.7,12.955694268269589,100
10,4,0.8,10.944549628026195,100
10,4,0.9,10.307124643743236,100
10,4,1.0,18.90421704695345,100
10,5,0.6,6.066498503398739,100
10,5,0.7,7.043656333439422,100
10,5,0.8,11.998080193199046,100
10,5,0.9,11.939508685119485,100
10,5,1.0,15.919334837854498,100
10,6,0.6,7.970351201216241,100
10,6,0.7,11.94081079064392,100
10,6,0.8,10.945287587594605,100
10,6,0.9,12.00265166424593,100
10,6,1.0,10.944549628026195,100
10,7,0.6,5.061609335544512,100
10,7,0.7,9.068733412271364,100
10,7,0.8,4.662957147492383,100
10,7,0.9,12.961870627994367,100
10,7,1.0,26.863879428691888,100
10,8,0.6,10.010744450696404,100
10,8,0.7,10.154044612611449,100
10,8,0.8,9.084920674452006,100
10,8,0.9,7.999041586811842,100
10,8,1.0,16.91429893276687,100
10,9,0.6,5.991719572991567,100
10,9,0.7,8.042265208204293,100
10,9,0.8,8.954699186377658,100
10,9,0.9,14.924380818580282,100
10,9,1.0,36.81343972664192,100
10,10,0.6,8.954631513839614,100
10,10,0.7,10.96524544390683,100
10,10,0.8,6.916379176722447,100
10,10,0.9,10.408969749387746,100
10,10,1.0,18.90421704695345,100
10,11,0.6,8.954631513839612,100
10,11,0.7,7.964797791993087,100
10,11,0.8,6.966401431067439,100
10,11,0.9,12.379484096452899,100
10,11,1.0,19.899176104046738,100
10,12,0.6,10.019816608677813,100
10,12,0.7,9.954385218529849,100
10,12,0.8,7.959672456746322,100
10,12,0.9,4.974795285466449,100
10,12,1.0,24.87396635169661,100
10,13,0.6,9.078040657285552,100
10,13,0.7,5.96978031076519,100
10,13,0.8,6.96471339965303,100
10,13,0.9,12.13894039384177,100
10,13,1.0,19.899171066227673,100
10,14,0.6,7.959849910053444,100
10,14,0.7,12.939951086225998,100
10,14,0.8,7.959672456746322,100
10,14,0.9,5.024537700551921,100
10,14,1.0,18.90421200913437,100
