,it,sol
0,0.0,279.515502305801
1,1.0,267.0238638745601
2,2.0,244.8638626422985
3,3.0,299.3774213811952
4,4.0,287.5155466319085
5,5.0,306.47038389046384
6,6.0,319.7518445687269
7,7.0,299.1471808078411
8,8.0,292.891034115394
9,9.0,299.78068605639095
10,10.0,301.51541986593287
11,11.0,309.62603715432505
12,12.0,279.3237137209617
13,13.0,260.3026353567302
14,14.0,290.66727987983717
