uCR uF c size_gen it cost
0.1 0.7 0.1 100 8 0.0
0.1 0.7 0.1 100 9 21.547377231173463
0.1 0.7 0.1 100 10 0.0
0.1 0.7 0.1 100 11 31.861691875503926
0.1 0.7 0.1 100 12 0.0
0.1 0.7 0.1 100 13 43.563613286488845
0.1 0.7 0.1 100 14 98.8811310116966
0.1 0.7 0.1 200 0 5.324549465307408
0.1 0.7 0.1 200 1 0.001648090416372483
0.1 0.7 0.1 200 2 0.001607639485460055
0.1 0.7 0.1 200 3 0.0014672165191491615
0.1 0.7 0.1 200 4 3.156292182655358
0.1 0.7 0.1 200 5 0.002744054945123864
0.1 0.7 0.1 200 6 0.1247993324250718
0.1 0.7 0.1 200 7 0.001028618698068584
0.1 0.7 0.1 200 8 0.007273497093768455
0.1 0.7 0.1 200 9 0.02573589582545921
0.1 0.7 0.1 200 10 0.1903889208355949
0.1 0.7 0.1 200 11 1.1394971584617313
0.1 0.7 0.1 200 12 0.011043520960404507
0.1 0.7 0.1 200 13 0.0037678411594121997
0.1 0.7 0.1 200 14 3.175646697876738
0.1 0.7 0.3 100 0 0.0
0.1 0.7 0.3 100 1 23.477444550915806
0.1 0.7 0.3 100 2 40.878930244144385
0.1 0.7 0.3 100 3 42.74017613389742
0.1 0.7 0.3 100 4 50.41299912373974
0.1 0.7 0.3 100 5 17.8301463748779
0.1 0.7 0.3 100 6 1.7763568394002505e-15
0.1 0.7 0.3 100 7 17.03847470718472
0.1 0.7 0.3 100 8 23.098193009244785
0.1 0.7 0.3 100 9 33.929524162530385
0.1 0.7 0.3 100 10 82.23709872460611
0.1 0.7 0.3 100 11 79.61622040146281
0.1 0.7 0.3 100 12 100.95216652037945
0.1 0.7 0.3 100 13 28.28134124709051
0.1 0.7 0.3 100 14 86.07584407171161
0.1 0.7 0.3 200 0 1.0723819087137905
0.1 0.7 0.3 200 1 0.0014152895450774139
0.1 0.7 0.3 200 2 1.0792446098680308
0.1 0.7 0.3 200 3 0.0024651900688841266
0.1 0.7 0.3 200 4 1.0241225288086948
0.1 0.7 0.3 200 5 1.025455116641174
0.1 0.7 0.3 200 6 0.0189347967466702
0.1 0.7 0.3 200 7 4.565212094720065
0.1 0.7 0.3 200 8 2.2110210931114462
0.1 0.7 0.3 200 9 1.0054371253887524
0.1 0.7 0.3 200 10 0.006895850382163005
0.1 0.7 0.3 200 11 2.0308895599135823
0.1 0.7 0.3 200 12 0.04713097045696202
0.1 0.7 0.3 200 13 0.004060572010038399
0.1 0.7 0.3 200 14 0.004886880174193919
0.1 0.7 0.5 100 0 0.0
0.1 0.7 0.5 100 1 44.47811757680388
0.1 0.7 0.5 100 2 16.391701913100178
0.1 0.7 0.5 100 3 27.40198483434663
0.1 0.7 0.5 100 4 13.226635437664466
0.1 0.7 0.5 100 5 23.72473703146359
0.1 0.7 0.5 100 6 25.461259145469903
0.1 0.7 0.5 100 7 45.25835394362672
0.1 0.7 0.5 100 8 25.294615281580896
0.1 0.7 0.5 100 9 44.8503013487923
0.1 0.7 0.5 100 10 75.04428071384275
0.1 0.7 0.5 100 11 69.82051146357698
0.1 0.7 0.5 100 12 30.544723312898824
0.1 0.7 0.5 100 13 20.26377678319397
0.1 0.7 0.5 100 14 60.982450734243805
0.1 0.7 0.5 200 0 0.08579037172136061
0.1 0.7 0.5 200 1 0.004590326088715457
0.1 0.7 0.5 200 2 1.067663480503752
0.1 0.7 0.5 200 3 0.2495779094823778
0.1 0.7 0.5 200 4 0.21796512961112136
0.1 0.7 0.5 200 5 0.9768014546346411
0.1 0.7 0.5 200 6 1.188289279271384
0.1 0.7 0.5 200 7 1.2186430324328388
0.1 0.7 0.5 200 8 0.06910000397714633
0.1 0.7 0.5 200 9 2.0677108431949804
0.1 0.7 0.5 200 10 0.024370580110158357
0.1 0.7 0.5 200 11 1.0383357662372674
0.1 0.7 0.5 200 12 0.01112985771883146
0.1 0.7 0.5 200 13 0.003515121800251819
0.1 0.7 0.5 200 14 1.0302992266143036
0.1 0.7 0.7 100 0 37.83485737364943
0.1 0.7 0.7 100 1 0.0
0.1 0.7 0.7 100 2 49.58772808138487
0.1 0.7 0.7 100 3 41.17551919193408
0.1 0.7 0.7 100 4 44.594751256415634
0.1 0.7 0.7 100 5 40.87710000333649
0.1 0.7 0.7 100 6 38.47785718296625
0.1 0.7 0.7 100 7 37.43855308860666
0.1 0.7 0.7 100 8 27.623327504582495
0.1 0.7 0.7 100 9 185.36484897483678
0.1 0.7 0.7 100 10 32.283641431774186
0.1 0.7 0.7 100 11 41.18626637629089
0.1 0.7 0.7 100 12 34.35666012508676
0.1 0.7 0.7 100 13 46.69094700541253
0.1 0.7 0.7 100 14 40.330371909447095
0.1 0.7 0.7 200 0 0.06025801892763738
0.1 0.7 0.7 200 1 2.313023702075334
0.1 0.7 0.7 200 2 0.09905295514080592
0.1 0.7 0.7 200 3 1.0235480839921127
0.1 0.7 0.7 200 4 0.04947518640707216
0.1 0.7 0.7 200 5 1.0183023928354196
0.1 0.7 0.7 200 6 1.1671387757456824
0.1 0.7 0.7 200 7 0.025274861827178086
0.1 0.7 0.7 200 8 0.04393554566449254
0.1 0.7 0.7 200 9 1.0196915930983295
0.1 0.7 0.7 200 10 1.018725180329172
0.1 0.7 0.7 200 11 0.08553192220388439
0.1 0.7 0.7 200 12 1.1154785153066538
0.1 0.7 0.7 200 13 3.7915073461862487
0.1 0.7 0.7 200 14 2.026224582206831
0.1 0.7 0.9 100 0 50.90390225155474
0.1 0.7 0.9 100 1 1.7763568394002505e-15
0.1 0.7 0.9 100 2 26.892135907750106
