,it,alpha,result
0,0.0,0.1,10.0014186109591
1,0.0,0.2,4.974795285466449
2,0.0,0.3,3.979836228373159
3,0.0,0.4,3.9851921275021756
4,0.0,0.5,0.0
5,1.0,0.1,14.480868433332637
6,1.0,0.2,4.974795993352171
7,1.0,0.3,1.0190030223428455
8,1.0,0.4,3.979836228373159
9,1.0,0.5,2.986659850969888
10,2.0,0.1,14.924484053109154
11,2.0,0.2,6.964748866093984
12,2.0,0.3,1.9899181141865796
13,2.0,0.4,2.9848771712798694
14,2.0,0.5,1.9899181141865796
15,3.0,0.1,10.944545531921538
16,3.0,0.2,4.974795285466449
17,3.0,0.3,2.9848771712798694
18,3.0,0.4,6.0112801555556885
19,3.0,0.5,3.979836228373159
20,4.0,0.1,14.968771593367958
21,4.0,0.2,9.949585533113828
22,4.0,0.3,4.981611838162337
23,4.0,0.4,3.979836228373159
24,4.0,0.5,1.9899181141865796
25,5.0,0.1,7.961551139567497
26,5.0,0.2,4.979766732774198
27,5.0,0.3,3.979836228373159
28,5.0,0.4,3.979836228373159
29,5.0,0.5,0.9949590570932898
30,6.0,0.1,6.1005966790220665
31,6.0,0.2,3.9798375362927736
32,6.0,0.3,2.987399994449879
33,6.0,0.4,4.974795285466449
34,6.0,0.5,0.9951148241526298
35,7.0,0.1,17.909603862280605
36,7.0,0.2,8.954631513839612
37,7.0,0.3,5.969754342559741
38,7.0,0.4,1.9899181141865796
39,7.0,0.5,2.9848771712798694
40,8.0,0.1,11.246739256138488
41,8.0,0.2,6.9653353969951795
42,8.0,0.3,7.120119418382201
43,8.0,0.4,3.9802094294194283
44,8.0,0.5,3.979836228373159
45,9.0,0.1,7.034119997444293
46,9.0,0.2,6.97851621938727
47,9.0,0.3,3.9798610057447483
48,9.0,0.4,2.0078540950120214
49,9.0,0.5,1.9899181141865796
50,10.0,0.1,17.139234919428585
51,10.0,0.2,5.969754342559739
52,10.0,0.3,6.1422949676076986
53,10.0,0.4,4.974795285466449
54,10.0,0.5,1.9899181141865796
55,11.0,0.1,11.992888569065064
56,11.0,0.2,4.974795285466449
57,11.0,0.3,3.979836228373159
10,0,0.6,1.9899181141865796
10,0,0.7,4.974795285466449
10,0,0.8,2.9848771712798694
10,0,0.9,4.974795285466449
10,0,1.0,6.065230920306858
10,1,0.6,0.9949590570932898
10,1,0.7,1.9899181141865796
10,1,0.8,2.9848771712798694
10,1,0.9,2.9848771712798694
10,1,1.0,4.974795285538024
10,2,0.6,4.974795285466449
10,2,0.7,6.96471339965303
10,2,0.8,0.0
10,2,0.9,3.979836228373159
10,2,1.0,81.04316917333816
10,3,0.6,1.9899181141865796
10,3,0.7,2.9848812201983357
10,3,0.8,3.979836228373159
10,3,0.9,1.9899181141865796
10,3,1.0,41.227786810674424
10,4,0.6,2.9848771712798694
10,4,0.7,1.9899181141865796
10,4,0.8,0.9949590570932898
10,4,0.9,4.974795285466449
10,4,1.0,129.8611680004696
10,5,0.6,0.9949590570932898
10,5,0.7,4.974795285466449
10,5,0.8,2.9848771712798694
10,5,0.9,3.979836228373159
10,5,1.0,5.970576416717552
10,6,0.6,4.974795285466449
10,6,0.7,2.9848771712798694
10,6,0.8,4.974795285466451
10,6,0.9,0.0
10,6,1.0,143.42124826095437
10,7,0.6,3.979836228373159
10,7,0.7,2.9848771712798694
10,7,0.8,0.0
10,7,0.9,5.969754342559739
10,7,1.0,7.959690528276093
10,8,0.6,0.9949590570932898
10,8,0.7,3.979836228373159
10,8,0.8,2.9848771712798694
10,8,0.9,4.974795285466449
10,8,1.0,14.550744432724397
10,9,0.6,1.9899181141865796
10,9,0.7,1.9899181141865796
10,9,0.8,1.9899181141865796
10,9,0.9,6.96471339965303
10,9,1.0,6.971246442827189
10,10,0.6,0.9949590570932898
10,10,0.7,1.9899181141865796
10,10,0.8,2.9848771712798694
10,10,0.9,6.964713399653032
10,10,1.0,51.77779773895794
10,11,0.6,0.9949590570932898
10,11,0.7,4.974795285466451
10,11,0.8,4.974795285466449
10,11,0.9,3.979836228373159
10,11,1.0,6.964713724286359
10,12,0.6,2.9848771712798694
10,12,0.7,1.9899181141865796
10,12,0.8,1.9899181141865796
10,12,0.9,143.5584920560955
10,12,1.0,128.77075292588927
10,13,0.6,2.987885716897022
10,13,0.7,2.9848771712798694
10,13,0.8,0.0
10,13,0.9,4.974795285466449
10,13,1.0,124.34012150300923
10,14,0.6,3.979836228373159
10,14,0.7,3.979836228373159
10,14,0.8,3.979836228373159
10,14,0.9,150.33087330222483
10,14,1.0,5.970008312040704
