,it,alpha,result
0,0.0,0.6,1.9899181141865796
1,0.0,0.7,4.974795285466449
2,0.0,0.8,2.9848771712798694
3,0.0,0.9,4.974795285466449
4,0.0,1.0,6.065230920306858
5,1.0,0.6,0.9949590570932898
6,1.0,0.7,1.9899181141865796
7,1.0,0.8,2.9848771712798694
8,1.0,0.9,2.9848771712798694
9,1.0,1.0,4.974795285538024
10,2.0,0.6,4.974795285466449
11,2.0,0.7,6.96471339965303
12,2.0,0.8,0.0
13,2.0,0.9,3.979836228373159
14,2.0,1.0,81.04316917333816
15,3.0,0.6,1.9899181141865796
16,3.0,0.7,2.9848812201983357
17,3.0,0.8,3.979836228373159
18,3.0,0.9,1.9899181141865796
19,3.0,1.0,41.227786810674424
20,4.0,0.6,2.9848771712798694
21,4.0,0.7,1.9899181141865796
22,4.0,0.8,0.9949590570932898
23,4.0,0.9,4.974795285466449
24,4.0,1.0,129.8611680004696
25,5.0,0.6,0.9949590570932898
26,5.0,0.7,4.974795285466449
27,5.0,0.8,2.9848771712798694
28,5.0,0.9,3.979836228373159
29,5.0,1.0,5.970576416717552
30,6.0,0.6,4.974795285466449
31,6.0,0.7,2.9848771712798694
32,6.0,0.8,4.974795285466451
33,6.0,0.9,0.0
34,6.0,1.0,143.42124826095437
35,7.0,0.6,3.979836228373159
36,7.0,0.7,2.9848771712798694
37,7.0,0.8,0.0
38,7.0,0.9,5.969754342559739
39,7.0,1.0,7.959690528276093
40,8.0,0.6,0.9949590570932898
41,8.0,0.7,3.979836228373159
42,8.0,0.8,2.9848771712798694
43,8.0,0.9,4.974795285466449
44,8.0,1.0,14.550744432724397
45,9.0,0.6,1.9899181141865796
46,9.0,0.7,1.9899181141865796
47,9.0,0.8,1.9899181141865796
48,9.0,0.9,6.96471339965303
49,9.0,1.0,6.971246442827189
50,10.0,0.6,0.9949590570932898
51,10.0,0.7,1.9899181141865796
52,10.0,0.8,2.9848771712798694
53,10.0,0.9,6.964713399653032
54,10.0,1.0,51.77779773895794
55,11.0,0.6,0.9949590570932898
56,11.0,0.7,4.974795285466451
57,11.0,0.8,4.974795285466449
58,11.0,0.9,3.979836228373159
59,11.0,1.0,6.964713724286359
60,12.0,0.6,2.9848771712798694
61,12.0,0.7,1.9899181141865796
62,12.0,0.8,1.9899181141865796
63,12.0,0.9,143.5584920560955
64,12.0,1.0,128.77075292588927
65,13.0,0.6,2.987885716897022
66,13.0,0.7,2.9848771712798694
67,13.0,0.8,0.0
68,13.0,0.9,4.974795285466449
69,13.0,1.0,124.34012150300923
70,14.0,0.6,3.979836228373159
71,14.0,0.7,3.979836228373159
72,14.0,0.8,3.979836228373159
73,14.0,0.9,150.33087330222483
74,14.0,1.0,5.970008312040704
